id,Description_Translated
3323,"Name: Car seat Siger Star Isofix
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3324,"Name: Runbike Puky LR M
Main_Category: Balance bikes
Remaining_Categories: Children's transport,"
3325,"Name: Active toy ""Triangle""
Main_Category: Multicenters
Remaining_Categories: Toys,"
3326,"Name: Drum set “Superstar” Winfun
Main_Category: Musical instruments
Remaining_Categories: Toys,"
3327,"Name: Active gaming table 5-in-1
Main_Category: Educational tables
Remaining_Categories: Toys,"
3328,"Name: Favorite Zoo Lounger Fisher Price
Main_Category: Sun loungers and cradles
Remaining_Categories: Room and sleep,"
3329,"Name: Big dinosaur with balls
Main_Category: Musical toys
Remaining_Categories: Toys,"
3330,"Name: Wooden toy ""Noah's Ark"" ELC
Main_Category: Busy boards and busy houses
Remaining_Categories: Sorters, Toys,"
3331,"Name: Rope ladder to the Early Start sports complex
Main_Category: Sports complexes
Remaining_Categories: Exercise machines and gaming complexes,"
3332,"Name: Bongo drums for swimming
Main_Category: Bath toys
Remaining_Categories: Toys,"
3333,"Name: Gymnastics complex Chicco
Main_Category: Educational mats
Remaining_Categories: Toys, Educational tables,"
3334,"Name: Car slide ""Miracles on turns""
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3335,"Name: Accordion Imaginarium
Main_Category: Musical instruments
Remaining_Categories: Toys,"
3336,"Name: Cubes with sound
Main_Category: Sorters
Remaining_Categories: Musical toys, Toys, Constructors,"
3337,"Name: Rocking chair ""Friends from the rainforest""
Main_Category: Sun loungers and cradles
Remaining_Categories: Room and sleep,"
3338,"Name: ELC crawler slide
Main_Category: Musical toys
Remaining_Categories: Toys,"
3339,"Name: Car seat Sparco F500K
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3340,"Name: Logic sorter toy ""Shapes""
Main_Category: Sorters
Remaining_Categories: Toys,"
3341,"Name: Active pyramid
Main_Category: Multicenters
Remaining_Categories: Sorters, Toys,"
3342,"Name: Active center “Spin while you play!”
Main_Category: No_translation"
3343,"Name: Video baby monitor Philips Avent SCD 603
Main_Category: Video baby monitors and baby monitors"
3344,"Name: Helicopter ""Ambulance""
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3345,"Name: Pyramid sorter Rainbow blocks
Main_Category: Sorters
Remaining_Categories: Toys, Constructors,"
3346,"Name: Trampoline for kids ""Giraffe""
Main_Category: Trampolines
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3347,"Name: Active game for kids “House”
Main_Category: Multicenters
Remaining_Categories: Sorters, Toys,"
3348,"Name: Talking Mole
Main_Category: Sorters
Remaining_Categories: Toys,"
3349,"Name: Large playpen Shell
Main_Category: Playpen-fences
Remaining_Categories: Room and sleep,"
3350,"Name: Trolley with ELC cubes
Main_Category: No_translation"
3351,"Name: Car seat Siger Cocoon
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3352,"Name: Car seat Siger Egida Lux
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3353,"Name: Large car transporter with Little Tikes cars
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3354,"Name: Runbike Puky Wutsch
Main_Category: Balance bikes
Remaining_Categories: Children's transport,"
3355,"Name: Interactive Vtech ""Play and Learn"" table
Main_Category: Educational tables
Remaining_Categories: Toys,"
3356,"Name: Barn with locks
Main_Category: Busy boards and busy houses
Remaining_Categories: Toys, Farms and cabins,"
3357,"Name: Drum ""Lion King""
Main_Category: Sorters
Remaining_Categories: Musical instruments, Musical toys, Toys,"
3358,"Name: Weight Cylinders
Main_Category: Sorters
Remaining_Categories: Toys, Constructors,"
3359,"Name: Run Ride balance bike
Main_Category: Balance bikes
Remaining_Categories: Children's transport,"
3360,"Name: Car seat Sparco F1000K
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3361,"Name: Car seat Siger Booster FIX
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3362,"Name: Runbike Strider 12 Classic
Main_Category: Balance bikes
Remaining_Categories: Children's transport,"
3363,"Name: Toy for kids “Giraffe”
Main_Category: No_translation"
3364,"Name: Fun slide for Yo-Yo Fisher Price
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3365,"Name: Car seat Siger Cocoon Isofix
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3366,"Name: Car seat Concord Air.Safe
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3367,"Name: Bowling with African animals Vtech
Main_Category: Outdoor games
Remaining_Categories: Toys,"
3368,"Name: Active sorter
Main_Category: Sorters
Remaining_Categories: Toys,"
3369,"Name: Chillafish Bunzi balance bike
Main_Category: Balance bikes
Remaining_Categories: Children's transport,"
3370,"Name: Double-sided cube
Main_Category: No_translation"
3371,"Name: Runbike Puky Pukylino
Main_Category: Balance bikes
Remaining_Categories: Children's transport,"
3372,"Name: Accordion Vtech
Main_Category: Musical instruments
Remaining_Categories: Toys,"
3373,"Name: Musical sea lion
Main_Category: No_translation"
3374,"Name: Car seat Chicco Keyfit 30
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3375,"Name: Car seat Primo Viaggio Surefix
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3376,"Name: ECOLINE MIDI dump truck
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3377,"Name: Runbike Janod
Main_Category: Balance bikes
Remaining_Categories: Children's transport,"
3378,"Name: Car seat Sparco F700K
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3379,"Name: Fire truck MIGHTY
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3380,"Name: Wooden puzzle Hape
Main_Category: Multicenters
Remaining_Categories: Toys,"
3381,"Name: Accordion Janod
Main_Category: Musical instruments
Remaining_Categories: Toys,"
3382,"Name: Car seat Siger Star
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3383,"Name: Scales LAICA PS 3001
Main_Category: Scales
Remaining_Categories: Room and sleep,"
3384,"Name: Scales LAICA PS 3003
Main_Category: Scales
Remaining_Categories: Room and sleep,"
3385,"Name: Extended slide KIDWOOD
Main_Category: No_translation"
3386,"Name: Bilingual laptop “Laugh and learn!”
Main_Category: No_translation"
3387,"Name: Hammock cot KIDWOOD
Main_Category: No_translation"
3388,"Name: Video baby monitor Maman VB603
Main_Category: Video baby monitors and baby monitors
Remaining_Categories: Room and sleep, Walks and travel,"
3389,"Name: Slide KIDWOOD
Main_Category: Sports complexes"
3390,"Name: Gymnastic trapeze for the Early Start sports complex
Main_Category: Sports complexes
Remaining_Categories: Exercise machines and gaming complexes,"
3391,"Name: Video baby monitor Motorola MBP33
Main_Category: Video baby monitors and baby monitors
Remaining_Categories: Room and sleep, Walks and travel,"
3392,"Name: Scales LAICA MD 6141
Main_Category: Scales"
3393,"Name: Game set ""Coffee machine""
Main_Category: Role-playing toys
Remaining_Categories: Toys,"
3394,"Name: Chicco Talking Farm
Main_Category: Farms and cabins
Remaining_Categories: Musical toys, Toys,"
3395,"Name: Video baby monitor Motorola MBP28
Main_Category: Video baby monitors and baby monitors
Remaining_Categories: Room and sleep, Walks and travel,"
3396,"Name: Wooden toy walker “Workbench”
Main_Category: Gurneys
Remaining_Categories: Exercise machines and gaming complexes,"
3397,"Name: Game set ""Oven""
Main_Category: Role-playing toys"
3398,"Name: Chicco talking steering wheel
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3399,"Name: 3-level garage Viking City
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3400,"Name: Slide ""Cars""
Main_Category: Gorki
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3401,"Name: Guitar Chicco
Main_Category: Musical instruments
Remaining_Categories: Toys,"
3402,"Name: Scales Maman SBBC 212
Main_Category: Scales
Remaining_Categories: Room and sleep,"
3403,"Name: Racing serpentine with cars, Fisher Price
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3404,"Name: Talking dragon
Main_Category: Learning to crawl/walk
Remaining_Categories: Musical toys, Toys,"
3405,"Name: Slide ""Hare"" without a basketball hoop
Main_Category: Gorki
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3406,"Name: Game set ""Libra""
Main_Category: Role-playing toys
Remaining_Categories: Toys,"
3407,"Name: Talking bug
Main_Category: Sorters
Remaining_Categories: Learning to crawl/walk, Toys,"
3408,"Name: Chicco talking table
Main_Category: Educational tables
Remaining_Categories: Toys,"
3409,"Name: ELC racing
Main_Category: No_translation"
3410,"Name: Garage with ELC cars
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3411,"Name: Video baby monitor Maman BM3200
Main_Category: Video baby monitors and baby monitors
Remaining_Categories: Room and sleep, Walks and travel,"
3412,"Name: Scales Maman SBBC 216
Main_Category: Scales
Remaining_Categories: Room and sleep,"
3413,"Name: 2-level garage Viking City
Main_Category: No_translation"
3414,"Name: Race track with Oball trampoline
Main_Category: No_translation"
3415,"Name: Fun little train with balls
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3416,"Name: Talking video phone (Russian/English)
Main_Category: Musical toys"
3417,"Name: Wooden toy walker “Kitchen”
Main_Category: Gurneys
Remaining_Categories: Exercise machines and gaming complexes, Toys, Role-playing toys,"
3418,"Name: Bilateral development center
Main_Category: Busy boards and busy houses
Remaining_Categories: Toys,"
3419,"Name: MamaRoo newborn insert
Main_Category: Electric swing
Remaining_Categories: Room and sleep,"
3420,"Name: Wooden gurney “Squirrel”
Main_Category: Tolokars and Gurneys
Remaining_Categories: Children's transport,"
3421,"Name: Scales Maman SBBC217
Main_Category: Scales
Remaining_Categories: Room and sleep,"
3422,"Name: Chicco Talking Cube
Main_Category: No_translation"
3423,"Name: Talking shopping cart
Main_Category: Learning to crawl/walk
Remaining_Categories: Toys, Role-playing toys,"
3424,"Name: King Truck
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3425,"Name: Video baby monitor Motorola MBP36
Main_Category: Video baby monitors and baby monitors
Remaining_Categories: Room and sleep, Walks and travel,"
3426,"Name: ELC race track
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3427,"Name: Butterfly playhouse (square)
Main_Category: Houses and tents
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3428,"Name: Scales Maman SBBC 215
Main_Category: Scales
Remaining_Categories: Room and sleep,"
3429,"Name: Slide for kids StarPlast
Main_Category: Gorki
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3430,"Name: Punching bag for DSK “Early Start”
Main_Category: Sports complexes
Remaining_Categories: Exercise machines and gaming complexes,"
3431,"Name: Children's bicycle 14 DRAGON B'TWIN
Main_Category: Bicycles
Remaining_Categories: Children's transport,"
3432,"Name: DSK ""Bogatyr"" with a slide
Main_Category: Sports complexes"
3433,"Name: Wooden play complex Berezka
Main_Category: Sports complexes
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3434,"Name: Children's rug Bubble ""Cacti/Cage""
Main_Category: No_translation"
3435,"Name: Wooden walkers 2-in-1
Main_Category: Gurneys
Remaining_Categories: Exercise machines and gaming complexes,"
3436,"Name: Cube for games “Funny Animals”
Main_Category: No_translation"
3437,"Name: Children's slide ""Funny Slide""
Main_Category: Gorki
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3438,"Name: Wooden gurney “Bunny”
Main_Category: Tolokars and Gurneys
Remaining_Categories: Children's transport,"
3439,"Name: Game panel “Puppy on a train”
Main_Category: No_translation"
3440,"Name: DSK ""Early Start"" luxury full set
Main_Category: Sports complexes
Remaining_Categories: Exercise machines and gaming complexes,"
3441,"Name: Wooden center ""Max's House""
Main_Category: Role-playing toys
Remaining_Categories: Toys,"
3442,"Name: Game set ""Miracle Farm""
Main_Category: Farms and cabins
Remaining_Categories: Toys,"
3443,"Name: No_translation
Main_Category: Gorki
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3444,"Name: Wooden musical set Hape
Main_Category: No_translation"
3445,"Name: House-sorter ""Forest""
Main_Category: Sorters
Remaining_Categories: Toys,"
3446,"Name: Children's rocking chair ""Horse""
Main_Category: Swings and rocking chairs"
3447,"Name: Children's slide ""Elephant"" with basketball hoop
Main_Category: Gorki
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3448,"Name: Children's rug Bubble ""At the edge""
Main_Category: No_translation"
3449,"Name: Rocking chair “Lion Cub”, Lider Kids
Main_Category: Swings and rocking chairs
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3450,"Name: House ""Snow White and the Seven Dwarfs""
Main_Category: Farms and cabins
Remaining_Categories: Musical toys, Toys,"
3451,"Name: House-tent “Frog Princess”
Main_Category: Houses and tents
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3452,"Name: Wooden educational toy “Ark”
Main_Category: Busy boards and busy houses
Remaining_Categories: Sorters, Toys,"
3453,"Name: Playpen Natural
Main_Category: Playpen-fences
Remaining_Categories: Room and sleep,"
3454,"Name: Children's slide ""Hare"" with a basketball hoop
Main_Category: Gorki
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3455,"Name: Rocking chair “Teddy Bear”, Lider Kids
Main_Category: Swings and rocking chairs
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3456,"Name: Unicorn ""I walk and repeat""
Main_Category: Robots and interactive toys
Remaining_Categories: Toys,"
3457,"Name: Wooden trolley-sorter “Crocodile”
Main_Category: Tolokars and Gurneys
Remaining_Categories: Sorters, Children's transport, Toys,"
3458,"Name: Dollhouse with locks
Main_Category: Farms and cabins
Remaining_Categories: Toys,"
3459,"Name: DSK Early start STANDARD (fully equipped)
Main_Category: Sports complexes
Remaining_Categories: Exercise machines and gaming complexes,"
3460,"Name: Children's bicycle seat Hamax Sleepy
Main_Category: Bicycle seats
Remaining_Categories: Children's transport,"
3461,"Name: Home slide KAKA ROOF
Main_Category: Gorki
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3462,"Name: Wooden scooter
Main_Category: Tolokars and Gurneys
Remaining_Categories: Children's transport,"
3463,"Name: Wooden garage ELC
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3464,"Name: House for fairies “Magic Tree”
Main_Category: Farms and cabins
Remaining_Categories: Toys,"
3465,"Name: Ship with animals
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Sorters, Toys,"
3466,"Name: Chicco Zip&Go cot
Main_Category: Playpens and cribs
Remaining_Categories: Room and sleep,"
3467,"Name: Knocking toy ""Roll the ball""
Main_Category: No_translation"
3468,"Name: Wooden educational toy “Castle”
Main_Category: Busy boards and busy houses
Remaining_Categories: Toys,"
3469,"Name: Playpen Deluxe Learning
Main_Category: Playpen-fences"
3470,"Name: Board with locks “Village yard”
Main_Category: No_translation"
3471,"Name: Wooden labyrinth “Active cube”
Main_Category: Toys"
3472,"Name: Game center ""Flower Farm""
Main_Category: Jumpers
Remaining_Categories: Exercise machines and gaming complexes,"
3473,"Name: Game center ELC
Main_Category: No_translation"
3474,"Name: Wooden gaming table ELC (large)
Main_Category: Educational tables
Remaining_Categories: Toys,"
3475,"Name: Game center ""Mukhomorchik""
Main_Category: Musical toys
Remaining_Categories: Toys,"
3476,"Name: Funny giraffe with cars
Main_Category: Musical toys
Remaining_Categories: Toys,"
3477,"Name: Fisher Price Meal on Wheels
Main_Category: Role-playing toys
Remaining_Categories: Toys,"
3478,"Name: Game center Bright Starts “Zoo 360”
Main_Category: Jumpers
Remaining_Categories: Exercise machines and gaming complexes,"
3479,"Name: Funny elephant juggler
Main_Category: No_translation"
3480,"Name: Entertaining farm
Main_Category: Farms and cabins
Remaining_Categories: Musical toys, Toys,"
3481,"Name: Weina gaming table
Main_Category: Educational tables
Remaining_Categories: Toys,"
3482,"Name: Game center ExerSaucer “A Day at the Beach”
Main_Category: Jumpers
Remaining_Categories: Exercise machines and gaming complexes,"
3483,"Name: Game center ""Footballist""
Main_Category: Outdoor games
Remaining_Categories: Toys,"
3484,"Name: Game center ExerSaucer “Dino”
Main_Category: Jumpers
Remaining_Categories: Exercise machines and gaming complexes,"
3485,"Name: Play table with B Kids construction set
Main_Category: Educational tables
Remaining_Categories: Toys, Constructors,"
3486,"Name: 3-in-1 gaming center “Discoverer”
Main_Category: Jumpers
Remaining_Categories: Exercise machines and gaming complexes,"
3487,"Name: Toy for creating soap bubbles “Frog”
Main_Category: Bath toys
Remaining_Categories: Toys,"
3488,"Name: Game center ExerSaucer “Friends from Safari”
Main_Category: Jumpers
Remaining_Categories: Exercise machines and gaming complexes,"
3489,"Name: Game panel ""Friends from the rainforest""
Main_Category: No_translation"
3490,"Name: Yookidoo playhouse
Main_Category: Houses and tents"
3491,"Name: Game center “First driving lessons”
Main_Category: No_translation"
3492,"Name: Game set “Mini Golf Club”
Main_Category: Outdoor games
Remaining_Categories: Toys,"
3493,"Name: Game set Oven LeapFrog
Main_Category: Role-playing toys"
3494,"Name: Fisher Price Crawling Around Play Center
Main_Category: Toys"
3495,"Name: Game center ExerSaucer “Zoo”
Main_Category: Jumpers
Remaining_Categories: Exercise machines and gaming complexes,"
3496,"Name: Interactive toy Rockit and Sparky
Main_Category: Interactive toys and robots
Remaining_Categories: Toys,"
3497,"Name: Rock Band gaming table, Chicco
Main_Category: Educational tables
Remaining_Categories: Toys,"
3498,"Name: Game center ""Big Bus""
Main_Category: Learning to crawl/walk
Remaining_Categories: Musical toys, Toys, Cars, steering wheels and garages,"
3499,"Name: Hedgehog accordion
Main_Category: Musical instruments
Remaining_Categories: Toys,"
3500,"Name: Game table with construction set “Build and Learn”
Main_Category: Educational tables
Remaining_Categories: Toys, Constructors,"
3501,"Name: Game center ""Basketball League""
Main_Category: Outdoor games
Remaining_Categories: Toys,"
3502,"Name: No_translation
Main_Category: Role-playing toys
Remaining_Categories: Toys,"
3503,"Name: Fire truck Italtrike
Main_Category: Tolokars and Gurneys
Remaining_Categories: Children's transport,"
3504,"Name: Trix-Track ""Track for kids with a mill""
Main_Category: Constructors
Remaining_Categories: Toys,"
3505,"Name: Interactive robot Movi ""Think and Learn""
Main_Category: Robots and interactive toys
Remaining_Categories: Toys,"
3506,"Name: Trix-Track ""Tower"" construction set
Main_Category: Constructors
Remaining_Categories: Toys,"
3507,"Name: Toy mini-piano “Cat” with microphone
Main_Category: Musical instruments
Remaining_Categories: Toys,"
3508,"Name: BabyBjorn ""Flying Friends"" Bouncer Toy
Main_Category: Sun loungers and cradles
Remaining_Categories: Room and sleep,"
3509,"Name: Bath toy ""Rescue boat""
Main_Category: Bath toys
Remaining_Categories: Toys,"
3510,"Name: Wooden toy “5 boxes” I'm Toy
Main_Category: Busy boards and busy houses
Remaining_Categories: Sorters, Toys,"
3511,"Name: Wheelchair ""Turtle""
Main_Category: Learning to crawl/walk
Remaining_Categories: Toys,"
3512,"Name: Interactive table Kiddieland
Main_Category: Educational tables
Remaining_Categories: Toys,"
3513,"Name: Trix-Track ""Double Track"" Constructor
Main_Category: Constructors
Remaining_Categories: Toys,"
3514,"Name: Bath toy “Crocodile on a boat”
Main_Category: Bath toys
Remaining_Categories: Toys,"
3515,"Name: Game case ""Theater"" for DSK STANDARD and LUX
Main_Category: Sports complexes
Remaining_Categories: Exercise machines and gaming complexes,"
3516,"Name: Wheelchair ""Tram"" Italtrike
Main_Category: Tolokars and Gurneys
Remaining_Categories: Children's transport,"
3517,"Name: Wheelchair ""Driver""
Main_Category: Gurneys
Remaining_Categories: Exercise machines and gaming complexes,"
3518,"Name: Bath toy “Submarine”
Main_Category: Bath toys
Remaining_Categories: Toys,"
3519,"Name: Wheelchair ""Lion"" Italtrike
Main_Category: Tolokars and Gurneys
Remaining_Categories: Children's transport,"
3520,"Name: Wheelchair ""Sea Wonders""
Main_Category: Learning to crawl/walk
Remaining_Categories: Toys,"
3521,"Name: Bath toy “Bubble Island”
Main_Category: Bath toys
Remaining_Categories: Toys,"
3522,"Name: Interactive toy ""Frankie - Fun Rhythms""
Main_Category: Robots and interactive toys
Remaining_Categories: Toys,"
3523,"Name: Fairy carriage
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3524,"Name: Musical toy “Guitar” Battat
Main_Category: Musical instruments
Remaining_Categories: Toys,"
3525,"Name: Play center-walker 2-in-1 “Penguin”
Main_Category: Gurneys
Remaining_Categories: Sorters, Exercise machines and gaming complexes, Toys,"
3526,"Name: Game center Weina ""Rainbow""
Main_Category: Educational tables
Remaining_Categories: Toys,"
3527,"Name: Carousel ELC
Main_Category: Sorters
Remaining_Categories: Toys,"
3528,"Name: Wheelchair ""Elephant"" 3-in-1
Main_Category: Tolokars and Gurneys
Remaining_Categories: Children's transport,"
3529,"Name: Wheelchair ""Wooden van""
Main_Category: Learning to crawl/walk
Remaining_Categories: Toys,"
3530,"Name: Interactive educational cube
Main_Category: Multicenters
Remaining_Categories: Musical toys, Toys,"
3531,"Name: MegaBloks construction set 80 pieces
Main_Category: Constructors
Remaining_Categories: Toys,"
3532,"Name: The Jolly Roger and Captain Hook ship
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys, Farms and cabins,"
3533,"Name: Bathing toy “Fountain with animals”
Main_Category: No_translation"
3534,"Name: Glowing globe toy
Main_Category: Mobiles and night lights
Remaining_Categories: Room and sleep, Musical toys, Toys,"
3535,"Name: Vtech Driver Toy Steer and Learn
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys, Role-playing toys,"
3536,"Name: Swing-cradle “Smart and silent”
Main_Category: Electric swing
Remaining_Categories: Room and sleep,"
3537,"Name: Stroller UPPAbaby Cruz 2018
Main_Category: Strollers
Remaining_Categories: Walks and travel,"
3538,"Name: Stroller FD-Design Amigo Street
Main_Category: Strollers
Remaining_Categories: Walks and travel,"
3539,"Name: 2-in-1 gurney-game center “Symphony”
Main_Category: Gurneys
Remaining_Categories: Exercise machines and gaming complexes, Toys, Educational tables,"
3540,"Name: Rug with interactive table Lorelli Toys
Main_Category: Educational mats"
3541,"Name: Wheelchair with 3-in-1 construction set
Main_Category: Gurneys"
3542,"Name: Battat Bath Toy Boat
Main_Category: Bath toys
Remaining_Categories: Toys,"
3543,"Name: Swing TAKO
Main_Category: Swings and rocking chairs
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3544,"Name: Electronic swing “Comfort and harmony”
Main_Category: Electric swing
Remaining_Categories: Room and sleep,"
3545,"Name: Mega Bloks Jeep 3-in-1 Stroller
Main_Category: Tolokars and Gurneys
Remaining_Categories: Children's transport,"
3546,"Name: Logic board-maze with stand ""Transport""
Main_Category: Busy boards and busy houses
Remaining_Categories: Toys,"
3547,"Name: Rocking Horse Sheriff
Main_Category: Swings and rocking chairs
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3548,"Name: Roller-sorter “Turtle”
Main_Category: Sorters
Remaining_Categories: Learning to crawl/walk, Toys, Gurneys,"
3549,"Name: Fisher Price exercise mat “Growing Together”
Main_Category: No_translation"
3550,"Name: Stroller UPPAbaby VISTA 2018
Main_Category: Strollers
Remaining_Categories: Walks and travel,"
3551,"Name: Rug-bag ""Karapuz"" without arches
Main_Category: Educational mats
Remaining_Categories: Toys,"
3552,"Name: Prime Living Rug ""Teddy Bear on Vacation/Roads""
Main_Category: No_translation"
3553,"Name: Synthesizer mat ELC
Main_Category: No_translation"
3554,"Name: Wheelchair-walker Chicco 123
Main_Category: Walkers
Remaining_Categories: Exercise machines and gaming complexes, Gurneys,"
3555,"Name: Xylophone for kids
Main_Category: Musical instruments
Remaining_Categories: Toys,"
3556,"Name: Rocking chair ""Bear""
Main_Category: Swings and rocking chairs
Remaining_Categories: Everything for the holiday, Exercise machines and gaming complexes,"
3557,"Name: Rope ride “Moose Drummer”
Main_Category: No_translation"
3558,"Name: Toy ride “Elephant”
Main_Category: Gurneys
Remaining_Categories: Learning to crawl/walk, Toys,"
